FarmID ,  ParcelID  , Lat        , Lon         , Farm Name               ,  Amount  ,  Weight  ,  Muscle  ,    Fat   ,Features , Front   ,    Leg   ,  Wool , Total
1338481 , 133848    , 64.57622388, -21.61984677, Hestur                  ,    502   ,    35.2  ,   28.7   ,    2.9   ,   3.7   ,  8.0    ,    17.6  ,  7.9  ,  33.4
1344111 , 134411    , 64.65545819, -21.29081324, Hægindi                 ,     77   ,    44.3  ,   28.6   ,    3.1   ,   4.3   ,  8.5    ,    17.5  ,  7.9  ,  33.9
1337361 , 133736    , 64.39586146, -21.98308913, Eystra-Súlunes          ,     95   ,    44.3  ,   28.5   ,    3.2   ,   4.0   ,  8.7    ,    17.6  ,  8.1  ,  34.3
1339091 , 133909    , 64.54410841, -21.69609561, Syðstu-Fossar           ,     59   ,    42.6  ,   28.4   ,    2.5   ,   4.1   ,  8.3    ,    17.4  ,  7.8  ,  33.4
1343521 , 134352    , 64.54238998, -21.32481647, Oddsstaðir 1            ,    148   ,    39.3  ,   28.2   ,    2.5   ,   4.1   ,  8.4    ,    17.4  ,  7.8  ,  33.5
1344251 , 134425    , 64.65297601, -21.32209959, Kópareykir              ,     68   ,    45.7  ,   27.8   ,    2.9   ,   4.1   ,  8.6    ,    17.8  ,  7.9  ,  34.3
1338441 , 133844    , 65.72189569, -17.37390128, Hellur                  ,    126   ,    40.8  ,   27.4   ,    2.9   ,   4.0   ,  8.1    ,    17.1  ,  7.8  ,  33.0
1343941 , 134394    , 64.66913883, -21.41346666, Deildartunga 1          ,     77   ,    42.6  ,   26.7   ,    3.0   ,   3.7   ,  8.4    ,    17.3  ,  8.0  ,  33.6
1343631 , 134363    , 64.55082462, -21.43307041, Skarð 1                 ,     59   ,    36.1  ,   26.6   ,    2.2   ,   4.0   ,  8.3    ,    17.3  ,  7.8  ,  33.4
1331571 , 133157    , 64.39851395, -21.50946077, Bjarteyjarsandur        ,    188   ,    35.8  ,   26.6   ,    2.3   ,   3.9   ,  8.3    ,    17.1  ,  7.8  ,  33.2
1336941 , 133694    , 64.30478759, -22.02784462, Ytri Hólmur I           ,    224   ,    37.3  ,   26.6   ,    2.6   ,   3.8   ,  8.2    ,    17.1  ,  7.9  ,  33.1
1337951 , 133795    , 64.40481721, -21.92179636, Skorholt                ,    305   ,    42.1  ,   26.5   ,    2.8   ,   3.7   ,  8.2    ,    17.0  ,  7.9  ,  33.0
1347631 , 134763    , 64.82310655, -21.39482222, Dýrastaðir              ,     54   ,    40.1  ,   29.9   ,    2.7   ,   4.0   ,  8.2    ,    17.2  ,  8.0  ,  33.4
1359421 , 135942    , 64.53249312, -22.04973337, Leirulækur              ,     72   ,    41.7  ,   28.1   ,    3.4   ,   3.8   ,  8.3    ,    17.3  ,  8.0  ,  33.6
1347481 , 134748    , 64.78173836, -21.35577008, Sigmundarstaðir         ,    136   ,    40.1  ,   27.4   ,    2.6   ,   3.9   ,  8.3    ,    17.1  ,  8.3  ,  33.6
1360291 , 136029    , 64.74143592, -22.09304243, Staðarhraun             ,    173   ,    40.5  ,   27.4   ,    2.9   ,   3.8   ,  8.3    ,    17.2  ,  7.8  ,  33.2
1347351 , 134735    , 64.71879854, -21.54246526, Höll                    ,    143   ,    39.0  ,   27.1   ,    3.0   ,   3.9   ,  8.2    ,    17.1  ,  8.0  ,  33.3
1348551 , 134855    , 64.67701564, -21.53317262, Bakkakot                ,    207   ,    41.8  ,   26.9   ,    3.0   ,   4.0   ,  8.3    ,    17.2  ,  7.9  ,  33.3
1346611 , 134661    , 64.71055237, -21.20776312, Sámsstaðir              ,    165   ,    43.2  ,   26.9   ,    3.2   ,   3.9   ,  8.3    ,    17.1  ,  7.9  ,  33.3
1360361 , 136036    , 64.58761904, -22.35356258, Traðir                  ,     77   ,    40.3  ,   26.8   ,    3.2   ,   3.8   ,  8.3    ,    17.2  ,  7.9  ,  33.3
1769651 , 176965    , 64.71045517, -21.31096253, Þorgautsstaðir 2        ,    122   ,    37.6  ,   26.7   ,    2.3   ,   4.1   ,  8.3    ,    17.3  ,  7.9  ,  33.5
1346371 , 134637    , 64.70659757, -21.04412318, Bjarnastaðir            ,    137   ,    42.1  ,   26.6   ,    2.8   ,   3.9   ,  8.3    ,    17.1  ,  7.8  ,  33.2
1359931 , 135993    , 64.64591821, -22.07182741, Brúarland               ,     94   ,    37.2  ,   26.2   ,    2.4   ,   3.8   ,  8.3    ,    17.3  ,  7.9  ,  33.5
1346412 , 134641    , 64.72222694,   -20.983883, Gilsbakki               ,    229   ,    43.8  ,   26.2   ,    3.0   ,   3.8   ,  8.3    ,    17.3  ,  7.9  ,  33.5
1348121 , 134812    , 64.84189459, -21.33895881, Hvammur                 ,    127   ,    41.7  ,   26.1   ,    3.2   ,   3.9   ,  8.3    ,    17.2  ,  7.7  ,  33.1
1361341 , 136134    ,  64.8448756, -22.66190223, Fáskrúðarbakki          ,    149   ,    44.2  ,   28.2   ,    3.8   ,   3.8   ,  8.5    ,    17.5  ,  8.0  ,  33.9
1360511 , 136051    , 64.81549893, -22.25468445, Haukatunga 2 Syðri      ,    251   ,    38.9  ,   28.0   ,    2.7   ,   4.0   ,  8.3    ,    17.5  ,  7.9  ,  33.7
1361391 , 136139    , 64.87450148, -22.73973103, Hjarðarfell             ,    370   ,    38.7  ,   27.8   ,    2.6   ,   4.1   ,  8.4    ,    17.4  ,  8.0  ,  33.8
1360851 , 136085    , 64.77387585, -22.30455598, Snorrastaðir 2          ,     66   ,    38.8  ,   27.7   ,    3.7   ,   3.6   ,  8.4    ,    17.4  ,  7.7  ,  33.4
1361421 , 136142    , 64.83523869, -22.79330497, Hofsstaðir              ,    196   ,    33.8  ,   27.5   ,    2.5   ,   3.9   ,  8.2    ,    17.3  ,  8.0  ,  33.5
1360971 , 136097    , 64.84765472, -22.42784897, Dalsmynni               ,     68   ,    42.6  ,   27.5   ,    3.4   ,   3.9   ,  8.4    ,    17.4  ,  7.9  ,  33.6
1369341 , 136934    , 65.04137847, -22.73062582, Helgafell               ,     60   ,    44.6  ,   27.2   ,    2.0   ,   4.0   ,  8.4    ,    17.4  ,  7.9  ,  33.5
1362081 , 136208    , 64.82312227, -22.86404876, Gaul                    ,    135   ,    38.2  ,   27.1   ,    2.8   ,   4.0   ,  8.5    ,    17.4  ,  7.9  ,  33.8
1360661 , 136066    , 64.74508683, -22.30054619, Jörfi                   ,    136   ,    35.3  ,   27.0   ,    1.8   ,   3.9   ,  8.4    ,    17.2  ,  7.9  ,  33.4
1366341 , 136634    , 64.91766061,  -23.2368419, Kverná-Neðri            ,     52   ,    38.5  ,   26.5   ,    2.8   ,   3.8   ,  8.4    ,    17.4  ,  8.1  ,  33.9
7002681 , 700268    , 64.92598232, -23.26025115, Eyrarvegur 12           ,     61   ,    37.9  ,   26.4   ,    2.1   ,   3.9   ,  8.4    ,    17.3  ,  7.9  ,  33.6
1361901 , 136190    , 64.83590601, -23.01112979, Álftavatn               ,    122   ,    38.0  ,   26.4   ,    2.7   ,   3.9   ,  8.3    ,    17.3  ,  8.0  ,  33.6
1360741 , 136074    , 64.82957674, -22.22204906, Mýrdalur                ,    232   ,    42.1  ,   26.4   ,    3.2   ,   3.8   ,  8.3    ,    17.1  ,  7.8  ,  33.2
1361211 , 136121    ,   64.855554, -22.38425974, Þverá                   ,     56   ,    47.7  ,   26.1   ,    3.3   ,   3.7   ,  8.5    ,    16.9  ,  8.2  ,  33.5
1377342 , 137734    , 65.15465746, -21.94113908, Rauðbarðaholt           ,     85   ,    44.9  ,   28.9   ,    4.0   ,   4.1   ,  8.5    ,    17.5  ,  7.9  ,  33.9
